date,logreturn,garch_volatility,daily_sentiment_mean,daily_sentiment_std,sentiment_rolling_mean,sentiment_rolling,article_count
2007-09-18,0.0114039832738268,2.0743124116850487,-0.1586957045365125,0.5245632766733319,0.0639434300269932,0.0639434300269932,8
2007-09-19,0.0401301663688831,2.0010897695987957,-0.0309209449009762,0.6736144605595819,0.0369601157628414,0.0369601157628414,9
2007-09-20,0.0032067258542439,2.2437616282802724,-0.4741087286648425,0.3895623094919657,0.0417504555510941,0.0417504555510941,11
2007-09-21,0.018779699477461,2.137370319533624,-0.1445193029940128,0.5789478665539788,-0.0999940418673095,-0.0999940418673095,6
2007-09-24,0.0193768217342444,2.106109095479217,-0.1400830373167991,0.6852377175775693,-0.2094769678380968,-0.2094769678380968,5
2007-09-25,0.0013473547702389,2.0822133534247897,-0.0934243810673554,0.7477316077146842,-0.1333400983185994,-0.1333400983185994,12
2007-09-26,0.0003340103028599,1.982844216651532,-0.2004867255842934,0.53529591379049,-0.1445335828366555,-0.1445335828366555,12
2007-09-27,0.0120813266734592,1.8885095620135304,-0.01980054192245,0.8095017724766791,-0.1793349820654838,-0.1793349820654838,9
2007-09-28,0.0041509739746342,1.8309698658459217,-0.1868137696927244,0.6569372562905051,-0.1281216911167244,-0.1281216911167244,11
2007-10-01,0.0094348927932675,1.7473878951544104,-0.095320557244122,0.3575527698297523,-0.1358053585951864,-0.1358053585951864,5
2007-10-03,0.0275996232647812,1.6854851270421838,-0.4456514955631324,0.6164942012800795,-0.1740697805830216,-0.1740697805830216,7
2007-10-04,-0.0004126710017726,1.7979351101565906,0.114987615229828,0.5287729414776413,-0.1137095035985111,-0.1137095035985111,14
2007-10-05,-0.004386904854019,1.7134092446264255,0.2836964011657983,0.5318869332763336,-0.0216491836588828,-0.0216491836588828,16
2007-10-08,-0.0196190673083014,1.6401762068630978,0.0080017264593731,0.3914506696727762,0.1371028217911576,0.1371028217911576,11
2007-10-09,0.0465204433689621,1.6791241560280914,-0.1095502243510314,0.6436065109127186,0.0921952538749857,0.0921952538749857,7
2007-10-10,0.0212104477984991,2.1108649600373464,-0.0753503077161999,0.5344616713472621,0.020385912098586,0.020385912098586,13
2007-10-11,0.0152105100274279,2.102035238799686,0.0633075921796262,0.7480776676225784,-0.015907701979727,-0.015907701979727,12
2007-10-12,-0.0176393169980749,2.0482798103801216,-0.1552757393568754,0.6984241315029915,-0.0537733905570213,-0.0537733905570213,10
2007-10-15,0.043642846374716,2.027402705030624,-0.2999477665871382,0.5488488415591654,-0.1628956444747745,-0.1628956444747745,5
2007-10-16,-0.00041453598166,2.3219803654775872,-0.1050961763908465,0.7514162459458187,-0.196576398188869,-0.196576398188869,15
2007-10-17,-0.0193729428614358,2.2106169703637075,-0.3242473711984025,0.60958031527181,-0.2303707245571744,-0.2303707245571744,9
2007-10-18,-0.0381887065941969,2.1898636419901,-0.3537429334181878,0.6103484373098093,-0.2154826839392383,-0.2154826839392383,9
2007-10-19,-0.0256868836146662,2.3911753790612003,0.1383575993505391,0.7301665394498087,-0.188935329648807,-0.188935329648807,11
2007-10-22,-0.0060196166645277,2.41083851036607,0.074623973108828,0.7230929374601234,-0.107267572295786,-0.107267572295786,8
2007-10-23,0.0543778812181705,2.3037033130522984,-0.4478897331282496,0.8096973931101552,-0.1260969322377984,-0.1260969322377984,4
2007-10-24,0.0040929890877681,2.7221261569821564,0.1319855174515396,0.8792851796504754,-0.1273713486175983,-0.1273713486175983,8
2007-10-25,0.0131587320104256,2.59223573770614,0.1677568715743043,0.7253570911993785,-0.0034866970921442,-0.0034866970921442,11
2007-10-26,0.0236630066067942,2.495008033409478,-0.5779476398602128,0.6568190953569524,-0.130294202170758,-0.130294202170758,8
2007-10-29,0.0350822667362536,2.472576645900161,-0.1579382620751857,0.7257751638420129,-0.1594965251027182,-0.1594965251027182,10
2007-10-30,-0.0063101707349497,2.569841286292869,-0.1408461846876889,0.6900438641088131,-0.2212171363551168,-0.2212171363551168,16
2007-10-31,0.0054208338104667,2.454860106787589,-0.0773063770805796,0.7926048359842387,-0.1210888837991902,-0.1210888837991902,6
2007-11-01,-0.0058127836159522,2.3407183022767453,0.0200238393412695,0.7101341315443472,-0.0858824102963423,-0.0858824102963423,9
2007-11-02,0.0111791222552117,2.2368438402150046,-0.0101921819150447,0.6063807788936075,-0.0732518332834457,-0.0732518332834457,5
2007-11-05,-0.0144488535857637,2.1525044289744355,0.1209913562051951,0.0420277421755467,0.0268096137688392,0.0268096137688392,2
2007-11-06,-0.0104523645324031,2.099793476192887,0.4910074822837487,0.3418111390033279,0.1404723856417049,0.1404723856417049,8
2007-11-07,-0.0007174269675405,2.027608539861372,0.2282625825610011,0.5642481273506089,0.1821201342856512,0.1821201342856512,8
2007-11-08,-0.0145633387929407,1.9314465099944915,-0.2509603971615434,0.5782893870561784,0.1339664912363515,0.1339664912363515,5
2007-11-12,-0.0144313186704246,1.8964342949127515,-0.1226233810496826,0.61567192989803,0.1033770605890702,0.1033770605890702,6
2007-11-13,0.0138432804610806,1.863252726886496,-0.1334813371714618,0.6342028863424207,0.0310282766425776,0.0310282766425776,9
2007-11-14,0.0416967047302312,1.8181702252422385,0.0920038951560855,0.5900289789002408,0.0996211351061033,0.0996211351061033,10
2007-11-15,-0.0043544042958611,2.12530805446286,-0.3566062657369507,0.561051168065667,0.0758401402644814,0.0758401402644814,9
2007-11-16,-0.0008884038359657,2.02946623580316,-0.1525140299151341,0.8679482073447058,-0.1346442237434287,-0.1346442237434287,9
