date,logreturn,garch_volatility,daily_sentiment_mean,daily_sentiment_std,sentiment_rolling_mean,sentiment_rolling,article_count,regime,predicted_regime
1190073600000000000,0.0114039832738268,1.1060678103605825,-0.8839892319928881,-0.38561136275896224,-0.05864365269529411,-0.05864365269529411,-0.2992807120713603,0.9999999999750633,1
1190160000000000000,0.0401301663688831,1.0074071234826896,-0.40156011288297533,0.6045913468032289,-0.22192371906311656,-0.22192371906311656,-0.10661797201873578,0.9999999999973781,1
1190246400000000000,0.0032067258542439,1.334384839408956,-2.074869401284981,-1.2824732326956907,-0.19293665724805054,-0.19293665724805054,0.27870750808651334,0.9999999999999991,1
1190332800000000000,0.018779699477461,1.1910324650652695,-0.8304645067043855,-0.024314210638770945,-1.0506537901096058,-1.0506537901096058,-0.6846061921766095,0.9999999999999818,1
1190592000000000000,0.0193768217342444,1.1489108787638844,-0.8137148469992889,0.6818089863620832,-1.7131513337268807,-1.7131513337268807,-0.877268932229234,0.9999999999999412,1
1190678400000000000,0.0013473547702389,1.1167135930968413,-0.6375494251469821,1.0969792502365294,-1.2524357601511913,-1.2524357601511913,0.47137024813913786,0.9999999999998569,1
1190764800000000000,0.0003340103028599,0.9828229411183939,-1.041776306124684,-0.31431044399357905,-1.3201692074624993,-1.3201692074624993,0.47137024813913786,0.9999999999950868,1
1190851200000000000,0.0120813266734592,0.8557157846733874,-0.35957368122479666,1.5073415360142062,-1.5307576741033593,-1.5307576741033593,-0.10661797201873578,0.9999999998921744,1
1190937600000000000,0.0041509739746342,0.7781864059881112,-0.9901524010184379,0.4937984471791333,-1.2208583984559134,-1.2208583984559134,0.27870750808651334,0.9999999993774367,1
1191196800000000000,0.0094348927932675,0.665567489160189,-0.6447086685315442,-1.4951245654724312,-1.2673534184356614,-1.2673534184356614,-0.877268932229234,0.99999999333598,1
1191369600000000000,0.0275996232647812,0.5821592776072514,-1.9674256625002413,0.2251201206462933,-1.4988971532244055,-1.4988971532244055,-0.4919434521239849,0.9999999663040343,1
1191456000000000000,-0.0004126710017726,0.733675151077184,0.1493353717595397,-0.35764498646531984,-1.1336480983629518,-1.1336480983629518,0.856695728244387,0.9999999983704483,1
1191542400000000000,-0.004386904854019,0.619784423912066,0.7863158772783863,-0.3369575753611399,-0.5765773470670124,-0.5765773470670124,1.242021208349636,0.9999999835353605,1
1191801600000000000,-0.0196190673083014,0.5211097298280475,-0.2546028412642414,-1.269928150403054,0.38405475809823214,0.38405475809823214,0.27870750808651334,0.9999998973309027,1
1191888000000000000,0.0465204433689621,0.5735884619199199,-0.6984345044258531,0.4052373244198419,0.11231235470075478,0.11231235470075478,-0.4919434521239849,0.9999999604231427,1
1191974400000000000,0.0212104477984991,1.155318963075436,-0.5693085666989035,-0.31985262826999855,-0.32221670189691,-0.32221670189691,0.6640329881917624,0.9999999999999503,1
1192060800000000000,0.0152105100274279,1.1434217365150818,-0.04578883013138572,1.099278255514671,-0.5418347835536914,-0.5418347835536914,0.47137024813913786,0.999999999999931,1
1192147200000000000,-0.0176393169980749,1.0709913059790965,-0.8710767382131696,0.7694112613519044,-0.7709657228978565,-0.7709657228978565,0.08604476803388877,0.9999999999995058,1
1192406400000000000,0.043642846374716,1.0428613519769276,-1.4173035427528209,-0.22427328059013563,-1.4312807860318255,-1.4312807860318255,-0.877268932229234,0.9999999999989576,1
1192492800000000000,-0.00041453598166,1.4397772988823259,-0.6816177055523165,1.121457678821238,-1.6350880592199732,-1.6350880592199732,1.0493584682970116,0.9999999999999988,1
1192579200000000000,-0.0193729428614358,1.2897255014881925,-1.5090496503625674,0.17918859242564347,-1.839582577508393,-1.839582577508393,-0.10661797201873578,0.999999999999998,1
1192665600000000000,-0.0381887065941969,1.2617623254267405,-1.62041372680404,0.18429151414333844,-1.7494928192086496,-1.7494928192086496,-0.10661797201873578,0.9999999999999968,1
1192752000000000000,-0.0256868836146662,1.5330111316719528,0.23757158433490436,0.9802879383258626,-1.5888508117814728,-1.5888508117814728,0.27870750808651334,0.9999999999999989,1
1193011200000000000,-0.0060196166645277,1.5595053687745069,-0.0030624599252569587,0.9332953571606145,-1.0946670095186022,-1.0946670095186022,-0.2992807120713603,0.9999999999999989,1
1193097600000000000,0.0543778812181705,1.415150673906705,-1.9758764001887974,1.5086411169787033,-1.2086062799469173,-1.2086062799469173,-1.0699316722818586,0.9999999999999989,1
1193184000000000000,0.0040929890877681,1.9789364649041545,0.21351301544227627,1.9709387853906952,-1.2163179638800663,-1.2163179638800663,-0.2992807120713603,0.9999999999999989,1
1193270400000000000,0.0131587320104256,1.8039212289128919,0.3485721062051019,0.9483369764823826,-0.46667342707444054,-0.46667342707444054,0.27870750808651334,0.9999999999999989,1
1193356800000000000,0.0236630066067942,1.6729159576448909,-2.4669258183755343,0.4930134599450994,-1.2340045874531154,-1.2340045874531154,-0.2992807120713603,0.9999999999999989,1
1193616000000000000,0.0350822667362536,1.6426917532698768,-0.8811294160132953,0.9511143892659424,-1.4107122068266071,-1.4107122068266071,0.08604476803388877,0.9999999999999989,1
1193702400000000000,-0.0063101707349497,1.7737467924853687,-0.8165962025576132,0.7137380136512758,-1.7841928475995914,-1.7841928475995914,1.242021208349636,0.9999999999999989,1
1193788800000000000,0.0054208338104667,1.6188203677510855,-0.5766939440853864,1.3950888731243665,-1.1783018305592607,-1.1783018305592607,-0.6846061921766095,0.9999999999999989,1
1193875200000000000,-0.0058127836159522,1.4650249226037124,-0.20921189438242707,0.8472051672277063,-0.965262198961482,-0.965262198961482,-0.10661797201873578,0.9999999999999989,1
1193961600000000000,0.0111791222552117,1.3250637646327816,-0.32329615139272894,0.1579328767148798,-0.8888326902384002,-0.8888326902384002,-0.877268932229234,0.9999999999999987,1
1194220800000000000,-0.0144488535857637,1.211424267247944,0.17200322477191904,-3.591275224405251,-0.2833459232824578,-0.2833459232824578,-1.4552571523871076,0.9999999999999892,1
1194307200000000000,-0.0104523645324031,1.1404011703035615,1.5690440352552237,-1.5997021011272228,0.40444449242671354,0.40444449242671354,-0.2992807120713603,0.9999999999999252,1
1194393600000000000,-0.0007174269675405,1.043138695230413,0.5770187644942008,-0.12197007092460917,0.6564612423367974,0.6564612423367974,-0.2992807120713603,0.9999999999989655,1
1194480000000000000,-0.0145633387929407,0.9135693209504853,-1.232345781557167,-0.028688735992495818,0.3650763532912099,0.3650763532912099,-0.877268932229234,0.999999999972678,1
1194825600000000000,-0.0144313186704246,0.8663936237800396,-0.7477937948530535,0.21965746460243235,0.1799751378753728,0.1799751378753728,-0.6846061921766095,0.9999999999159607,1
1194912000000000000,0.0138432804610806,0.8216845529259776,-0.7887893265379138,0.3427655326068985,-0.2578181638951464,-0.2578181638951464,-0.10661797201873578,0.9999999997643594,1
